age,country,event_count,friend_count,gender,id,image,playcount,playlists,recent_artist1,recent_artist2,recent_artist3,recent_artist4,recent_artist5,recent_date1,recent_date2,recent_date3,recent_date4,recent_date5,recent_track1,recent_track2,recent_track3,recent_track4,recent_track5,registered,subscriber,tag1,tag2,tag3,tag4,tag5,top_artist1,top_artist2,top_artist3,top_artist4,top_artist5,top_count1,top_count2,top_count3,top_count4,top_count5
None,None,0,0,None,5658096,False,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1171333693,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,15500243,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1233346487,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,13310468,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1225064289,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,6678933,False,7,1,Avril Lavigne,The Pussycat Dolls,Korn,Flyleaf,Kelly Clarkson,1180900190,1180830765,1180810036,1180809748,1180808893,Freak Out,Stickwitu,Coming Undone (Sleazy Days Rock Electro Remix) (Acid Planet Remix -- France),I'm So Sick,A Moment Like This,1180806226,0,Nu Metal,rock,pop,pop,alternative rock,Korn,Hoobastank,Avril Lavigne,Kelly Clarkson,Three Days Grace,1,1,1,1,1
23.0,FR,0,6,f,10061367,True,7110,0,Eels,The White Stripes,The White Stripes,The Good the Bad & the Queen,Supertramp,1348697814,1342969487,1342969359,1342969176,1342969020,Last Days Of My Bitter Heart,Ball and Biscuit,Hotel Yorba,History Song,Breakfast In America,1207254616,0,christian rock,singer-songwriter,chanson francaise,classic rock,electronic,Skillet,Elliott Smith,Les Wriggles,The Beatles,Daft Punk,463,427,323,235,176
None,None,0,0,None,16541049,True,180,0,Daniel Powter,Gavin DeGraw,Katy Perry,Vertical Horizon,Leona Lewis,1237484433,1237484218,1237483989,1237483794,1237483552,Song 6,Just Friends,Hot n Cold,Famous,Better in Time,1236074519,0,pop,alternative,rock,rock,rock,Kelly Clarkson,Augustana,OneRepublic,The Calling,Maroon 5,7,7,7,6,6
None,None,0,0,None,16762091,False,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1236632364,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,14035554,False,2,0,Aesop Rock,CunninLynguists,None,None,None,1228145169,1228145010,None,None,None,Flashflood,SouthernUnderground,None,None,None,1228144817,0,Hip-Hop,Hip-Hop,None,None,None,Aesop Rock,CunninLynguists,None,None,None,1,1,None,None,None
None,None,0,0,None,21975819,False,264,0,Led Zeppelin,Wilco,Paul McCartney,New Order,Stampeders,1290231469,1290231103,1290230703,1289617483,1289617215,Trampled Under Foot,Impossible Germany,Let 'Em In,Blue Monday '88,Sweet City Woman,1255575483,0,mysterious,classic rock,new wave,electronic,reggae,[unknown],The Beatles,New Order,Depeche Mode,Bob Marley,47,10,6,6,5
26.0,CA,0,35,f,2111293,True,20649,1,10000 Volt Ghost,Shigeto,Shigeto,Shigeto,D'Angelo,1381099232,1380396024,1380396024,1380396024,1380329027,Empathy__10000_Volt_Ghost_Remi,What We Held On To,What We Held On To,What We Held On To,Greatdayindamornin' / Booty,1101359989,0,electronic,female vocalists,Psychedelic Rock,downtempo,indie,Flying Lotus,Bat for Lashes,Tame Impala,Bonobo,The xx,870,823,625,604,556
None,None,0,0,None,25341472,False,240,0,Foo Fighters,Audioslave,Porno For Pyros,Fu Manchu,Guns N' Roses,1282953127,1282952685,1282952254,1265604430,1263515143,Everlong,What You Are,Cursed Male,King Of The Road,Scraped,1262017595,0,Alt-country,alternative rock,indie,Grunge,rock,Wilco,Jane's Addiction,The National,Stone Temple Pilots,Red Hot Chili Peppers,16,12,10,8,6
None,None,0,0,None,15979205,False,88,0,Korn,Vixen,The Police,Lacuna Coil,Skin,1241427815,1241427533,1241427295,1241427017,1241426764,Wish You Could Be Me,How Much Love,Invisible Sun,To Live Is to Hide,Lost,1234648676,0,heavy metal,rock,Progressive metal,heavy metal,symphonic metal,Iron Maiden,Skin,Dream Theater,Black Sabbath,Nightwish,5,4,4,3,3
None,None,0,0,None,28542858,False,47,0,Jay Sean,Omarion,Mario,Usher,Nicky Jam,1274637312,1274636953,1274636722,1274636345,1273156024,Ride It (Radio Edit),Ice Box,Music For Love,My Way,Yo Seguimos Hasta Abajo Remix,1270393259,0,rnb,rnb,rnb,rap,rnb,Jay Sean,Mario,Jamie Foxx,G-Unit,Chris Brown,4,3,3,2,2
None,DE,0,1,None,10142173,True,21,1,Duffy,Duffy,Juli,Whitney Houston,Madonna,1211448780,1211448547,1211040691,1211021249,1211020691,My Destroyer,Goodbye,Perfekte Welle,I Will Always Love You,Sorry,1207860535,0,pop,soul,russian rock,rock,pop,Madonna,Duffy,??????? ?. & ????????????,U2,Whitney Houston,2,2,2,1,1
None,None,0,0,None,15963422,False,18,0,Tranquility Base,Armin van Buuren,Marco V,Ti?sto,Ti?sto,1234620639,1234620322,1234620129,1234619892,1234619431,Oceanic,Who Is Watching (feat. Nadia Ali),Simulated,In The Dark,Nyana,1234614119,0,trance,trance,trance,trance,trance,Ferry Corsten,Ti?sto,OceanLab,Paul Van Dyk,ATB,2,2,1,1,1
None,None,0,0,None,27435732,False,19,0,Garth Brooks,Toby Keith,Jason Aldean,Lonestar,Billy Currington,1267735304,1267735015,1267734749,1267734449,1267734232,Callin' Baton Rouge,As Good As I Once Was,She's Country,Amazed,Good Directions,1267275142,0,Hip-Hop,rap,country,country,rap,Drake,Young Jeezy,Toby Keith,Lonestar,Ludacris,2,2,1,1,1
None,None,0,0,None,29146093,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1272221242,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,21436474,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1253411360,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
21.0,PT,0,3,m,20616607,True,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1250023082,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,16300988,False,173,0,Linkin Park,Staind,Hoobastank,The All-American Rejects,Theory of a Deadman,1250680490,1248684088,1248683867,1248683623,1248683408,New Divide,This Is It,I Don't Think I Love You,Real World,Not Meant To Be,1235492181,0,hard rock,Reggaeton,rock,Reggaeton,Reggaeton,Guns N' Roses,"Tito ""El Bambino""",Bruce Springsteen,Wisin & Yandel,Daddy Yankee,14,7,6,6,5
None,SE,0,0,None,9190041,True,169,1,Murderdolls,Murderdolls,Murderdolls,Murderdolls,Murderdolls,1203235038,1203234837,1203234647,1203234470,1203234184,197666,Graverobbing U.S.A.,Die My Bride,She Was A Teenage Zombie,People Hate Me,1201584556,0,sleaze rock,Gothic Rock,hard rock,alternative rock,glam punk,Vains of Jenna,The 69 Eyes,Hardcore Superstar,Placebo,Peppermint Creeps,40,18,15,14,14
None,None,0,0,,7569045,False,1,0,Martin Landsky,None,None,None,None,1188230642,None,None,None,None,Spy On Summer,None,None,None,None,1188233651,0,minimal,None,None,None,None,Martin Landsky,None,None,None,None,1,None,None,None,None
None,None,0,0,None,29220829,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1272470977,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
