age,country,event_count,friend_count,gender,id,image,playcount,playlists,recent_artist1,recent_artist2,recent_artist3,recent_artist4,recent_artist5,recent_date1,recent_date2,recent_date3,recent_date4,recent_date5,recent_track1,recent_track2,recent_track3,recent_track4,recent_track5,registered,subscriber,tag1,tag2,tag3,tag4,tag5,top_artist1,top_artist2,top_artist3,top_artist4,top_artist5,top_count1,top_count2,top_count3,top_count4,top_count5
None,None,0,0,None,23229426,False,32,0,The Audition,Lady Gaga,Dr. Dre,Eminem,Coldplay,1260652922,1259364630,1258610318,1258610306,1258610056,You've Made Us Conscious,The Fame,Xxplosive,Medicine Ball,The Hardest Part,1258562711,0,rap,Hip-Hop,Hip-Hop,pop,electronic,Eminem,Kanye West,Dr. Dre,Kylie Minogue,Daft Punk,4,3,2,2,1
None,None,0,0,None,11554947,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1217527454,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,1,None,25204314,False,2653,0,Relient K,Vanessa Carlton,Fama,ParagonX9,Avant,1276533415,1276532562,1276532304,1276484724,1276484495,Be My Escape,1000 Miles,Mou Sukoshi... Mou Sukoshi...,Chaoz Fantasy,avant- i wanna be close to you,1261730123,0,instrumental,Progressive metal,trance,trance,rock,Bond,The Black Mages,cornandbeans,Dimrain47,Train,223,218,178,143,87
23.0,MX,0,1,m,7213202,True,3194,0,Britney Spears,Britney Spears,Britney Spears,Britney Spears,Britney Spears,1243638994,1243638748,1243638524,1243638318,1243638076,Outrageous,Sometimes,Womanizer,Lucky,Born to Make You Happy,1185503802,0,alternative rock,latin,symphonic metal,pop,rock,Muse,Alejandro Fern?ndez,Haggard,The Veronicas,Linkin Park,619,425,134,128,97
None,None,0,0,None,18473854,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1241739057,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,28393517,False,1,0,Gerald Albright,None,None,None,None,1269959910,None,None,None,None,Groovology,None,None,None,None,1269959827,0,Smooth Jazz,None,None,None,None,Gerald Albright,None,None,None,None,1,None,None,None,None
None,None,0,0,None,17243591,False,235,1,Spandau Ballet,Kajagoogoo with Limahl,The Power Station,Gary Numan,Yazoo,1242207951,1242207729,1242207449,1242207211,1242207023,Musclebound,Too Shy,Communication (Long Remix),Dominion Day,Don't Go,1237899384,0,new wave,electronic,electronic,indie,post-punk,The Cure,R?yksopp,Depeche Mode,Interpol,She Wants Revenge,6,6,5,5,5
None,None,0,0,None,15530163,False,1,0,Ebi,None,None,None,None,1233427009,None,None,None,None,Tahamol kon,None,None,None,None,1233426999,0,Persian,None,None,None,None,Ebi,None,None,None,None,1,None,None,None,None
22.0,BR,0,24,f,10047803,True,25365,0,Caetano Veloso,Os Mutantes,Gilberto Gil,Caetano Veloso,Os Mutantes,1329791670,1329791526,1329791349,1329791260,1329790977,Cada Macaco No Seu Galho (Ch? Chu?),Can??o Para Ingl?s Ver-Chiquita Bacana,Domingou,Superbacana,A minha menina,1207153405,0,brazilian,rock,mpb,mpb,rock,Los Hermanos,Legi?o Urbana,O Teatro M?gico,Zeca Baleiro,Cascadura,1507,1093,1064,722,665
None,None,0,0,None,24886026,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1261075069,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,20343896,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1248890441,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,13957851,False,1,0,Bat for Lashes,None,None,None,None,1227812339,None,None,None,None,What's a Girl to Do?,None,None,None,None,1227795989,0,female vocalists,None,None,None,None,Bat for Lashes,None,None,None,None,1,None,None,None,None
22.0,UK,0,17,m,14457513,True,23023,0,Nick Drake,Nick Drake,Nick Drake,Neon Indian,Neon Indian,1375188216,1375157428,1375157214,1375156097,1375148180,From The Morning,Free Ride,Parasite,7000 (Reprise),(If I Knew I'd Tell You),1230128514,0,indie,electronic,indie,electronic,electronic,Vampire Weekend,The Knife,The Drums,Moby,Crystal Castles,770,736,563,500,477
None,None,0,0,None,7250702,False,28,1,New Stories,New Stories,Blondie,Simple Minds,Duncan Dhu,1296087397,1295587657,1276735489,1213636044,1205043105,"""Highway Blues""","""Highway Blues""",Call Me,Don't You (Forget About Me),Mundo Real,1185865267,0,jazz,rock,Classical,80s,britpop,New Stories,U2,Ludwig van Beethoven,DANZA INVISIBLE,Oasis,4,2,2,2,1
None,None,0,0,,2247458,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1106854546,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,5661971,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1171381434,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,13696859,False,0,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1226609170,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,None,14744448,False,913,0,Loveninjas,South Ambulance,Chasing Dorotea,Gentle Touch,Sambassadeur,1240935786,1240935584,1240935360,1240935101,1240934916,It's Been A Long Time,Take Them Out,Tuva Song,Memories,Ice & Snow,1231449353,0,jazz,Surf,jazz,jazz,oldies,Carmen McRae,The Ventures,Blossom Dearie,Madeleine Peyroux,Santo & Johnny,15,15,14,14,13
None,JP,0,0,m,9265752,True,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1202020140,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,,5197788,False,777,0,Coburn,Coburn,Justice vs. Simian,Coburn,Ken Ishii,1171161049,1171160667,1171160341,1171160074,1171159717,Sick (Featuring Princess Superstar & Solid State),We Interrupt This Program (Interrupted vocal mix),"We Are Your Friends (Lee Cabrera' s ""Lower East Side"" Remix)",Give Me Love,Organised Green (feat. Fabrice Lig),1165850407,0,j-pop,japanese,Hip-Hop,classic rock,dance,Exile,19,Black Eyed Peas,Billy Joel,Da Buzz,57,33,28,20,19
None,None,0,0,None,4022803,True,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1150578554,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,None,0,0,,8001,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1057622400,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
None,JP,0,0,None,1063552,True,4642,0,??? & ???,Whitney Houston,Henry Mancini,Shakira,????????&????????????,1180366738,1180366123,1180365856,1180365467,1180365216,?????????????,????SOMEBODY,???????????,Whenever Where ever,????????,1083250679,0,japanese,j-pop,black metal,j-pop,japanese,CHAGE & ASKA,BONNIE PINK,Aska,Double,?????,848,374,179,160,110
None,None,0,0,None,11959953,False,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1219510190,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
